,S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
824,0.83,14.288,0.11298252,0
825,0.89,19.88,0.14705235,0
827,1.03,17202.194,13.216228,0
828,1.07,1176.45,2.2869713,0
829,1.1,137.48,0.5572182,0
830,0.96,38.478757,0.2213,0
831,0.86,3.4130362,0.0427,0
832,1.01,17.232366,0.135,0
833,1.39,852.5,2.017868,0
834,1.1,4.175186,0.052588304,0
835,1.55,673.2,1.7487,0
837,1.44,93.4,0.490882,0
838,0.8,8.199796,0.0767448,0
839,1.32,52.501129,0.34066872,0
840,0.88,34.260281,0.195,0
841,1.05,2.5441765,0.037,0
843,0.96,10.3039,0.091092138,0
844,2.28,157.57001,0.682754,0
845,1.01,442.19,1.260176,0
846,0.8,22.6786,0.1465476,0
847,1.06,122.744,0.49638998,0
848,1.06,604.67,1.4763521,0
849,0.79,16.8191,0.11951174,0
850,0.38,11.4407,0.072318096,0
851,0.97,1039.15,2.0265761,0
852,0.5,2.64977,0.029,0
853,0.99,2.50387,0.035958026,0
854,0.42,122.6196,0.36393859,0
855,0.65,3.67626,0.0405,0
856,0.31,15.04,0.081,0
857,0.93,19.578328,0.13931278,0
858,1.2,17.24,0.1428,0
859,1.13,4.3474032,0.0543,0
860,1.08,13.900148,0.12127746,0
861,0.78,4.3931539,0.04825,0
862,1.0,6.16486,0.064888,0
863,1.47,109.75,0.55075659,0
865,1.24,17.8999,0.1439,0
866,1.17,1818.8234,3.1680434,0
867,0.96,1820.0,2.9246489,0
870,0.6,1.7318561,0.023863077,0
871,0.8,16.145699,0.11666021,0
873,1.06,6.2463345,0.067705997,0
874,1.33,2149.0,3.6015634,0
875,0.98,17.028937,0.127,0
876,1.05,58.883,0.30115481,0
877,1.03,1179.0,2.21584,0
878,1.13,157.35,0.59423285,0
879,0.82,1.2248663,0.0219,0
880,1.1,1.915291,0.03128775,0
881,1.02,434.5,1.1526,0
883,0.4,5.24,0.0441,0
884,0.78,2.13174,0.029833024,0
885,0.22,2.87814,0.023899662,0
886,1.06,3.583893,0.049969009,0
887,0.48,105.911,0.34474947,0
888,0.9,8.9891,0.084223224,0
889,0.83,4.382745,0.049245485,0
891,0.79,13.81513,0.1041,0
892,0.71,4.1480467,0.045263801,0
893,0.76,7.610303,0.069986906,0
894,1.32,22.951,0.18892721,0
895,0.86,6134.427,6.6112618,0
896,1.02,2266.4,3.4009514,0
897,1.1,1535.1191,2.8011188,0
899,1.3,4.007232,0.054144764,0
901,0.68,1.22003,0.020055585,0
902,1.21,328.55,1.1640785,0
904,0.6,0.381073,0.00916245,0
905,1.61,535.59998,1.3690125,0
907,1.23,394.62449,1.1088,0
908,0.7,3.8728,0.0428,0
909,0.23,2.326318,0.02,0
910,1.01,2269.8173,3.7715751,0
911,1.08,2124.54,3.3688069,0
913,1.98,760.0,1.613,0
916,0.97,5.0505,0.060012,0
917,1.08,153.22,0.57600029,0
918,0.49,21.750264,0.1213872,0
919,1.29,2.72474,0.0417,0
920,1.43,676.6,1.7204213,0
921,0.96,5.118,0.059570694,0
922,0.34,532.58,0.96533558,0
923,0.93,0.76552414,0.01598,0
924,1.09,4.20474,0.0526,0
925,0.78,33.589979,0.18750562,0
926,1.01,2.1684526,0.0337,0
927,1.34,996.0,2.1598896,0
928,0.78,1071.2321,1.9621801,0
929,1.15,325.803,1.0294125,0
930,0.67,3.76483,0.0473,0
931,1.07,3.37265,0.044906488,0
932,0.18,24.73723,0.094687458,1
933,0.18,3.77794,0.02703375,0
934,0.1,4.90634,0.025911655,1
935,0.1,11.416,0.0455364,1
936,1.23,3.671463,0.049902446,0
937,1.06,4.631296,0.054983036,0
938,0.91,0.84742346,0.016979454,0
939,0.91,4.841962,0.054267228,0
